ID,Level,Page,Type,Question,Answer,OptionA,OptionB,OptionC,OptionD,CorrectOption
514,Novice,2,Toss-up,These were the month and year of the first apparition of Our Lady at Fatima.,What is May 1917?,What is the sacrament of Confirmation?,What is Holy Communion?,What are the precepts of the Church?,What is May 1917?,D
515,Novice,2,Toss-up,The Blessed Virgin requested that this prayer be inserted between the mysteries in reciting the rosary.,"What is: ""0 My Jesus, forgive us our sins, save us from the fires of hell. Lead all souls to heaven, especially those in most need of Thy mercy?""",What are: (1) The Agony in the Garden. (2) The Scourging at the Pillar. (3) The Crowning with Thorns. (4) The Carrying of the Cross. (5) The Crucifixion and Death of Christ?,What is a mortal sin?,"What is: ""0 My Jesus, forgive us our sins, save us from the fires of hell. Lead all souls to heaven, especially those in most need of Thy mercy?""",What is the Garden of Eden?,C
516,Novice,2,Toss-up,These commandments forbid coveting.,What are the Ninth & Tenth Commandments?,What are the Ninth & Tenth Commandments?,What are: Scripture or the Word of God?,What are capital sins?,What is Holy Communion?,A
517,Novice,2,Toss-up,"Saying, ""I am not worthy to die as my Lord did,"" he asked to be crucified upside down.",Who is St. Peter?,Who is God?,"Who are Venerable Jacinta, Venerable Francisco, and Lucia?",Who is St. Peter?,Who are angels?,C
518,Novice,2,Toss-up,It was here that the Blessed Virgin appeared in 1858 in France to St. Bernadette.,What is Lourdes?,What is the amice?,What are sacraments?,What is Lourdes?,What is a sacrament?,C
519,Novice,2,Toss-up,"Other than God Himself, our greatest help against the temptations presented by the devil.",Who is the Blessed Virgin? (Mary our Mother).,Who is Michael?,Who is the Holy Spirit?,Who is the Blessed Virgin? (Mary our Mother).,Who is Pontius Pilate?,C
520,Novice,2,Toss-up,The fact that Mary was conceived without original sin is this dogma.,What is the Immaculate Conception?,What is the Immaculate Conception?,What is a martyr?,What is the Catholic Church?,What is to speak for us? (to intercede).,A
521,Novice,2,Toss-up,This pope solemnly defined the Assumption of the Blessed Mother as dogma in 1950.,Who is Pope Pius XII?,Who is Pope Pius XII?,Who is St. Maximilian Kolbe?,Who is the pope?,Who is St. Barbara?,A
522,Novice,2,Toss-up,This Person gave us The Lord's Prayer.,Who is Jesus?,Who is Jesus?,Who is Benjamin?,Who is St. Vincent de Paul?,Who is St. Tarcisius?,A
523,Novice,2,Toss-up,This person is truly God and truly Man.,Who is Jesus Christ?,Who is Ruth?,Who is St. Patrick?,Who is Jesus Christ?,Who is Moses? (Ex. 2:11-15),C
524,Novice,2,Toss-up,"This person was always God but he was not always man. He became man at the Incarnation, and will remain God and man forever.",Who is Jesus Christ?,Who is St. Bernadette (Soubirous)?,Who is St. Ignatius of Antioch?,Who is Moses?,Who is Jesus Christ?,D
525,Novice,2,Toss-up,This is considered the moment that the Son of God became man?,"What is the moment Mary agreed to become His Mother or "" Incarnation?""",What is abstinence?,"What is the moment Mary agreed to become His Mother or "" Incarnation?""","What is ""Adam""?",What is: Honour your father and your mother?,B
526,Novice,2,Toss-up,They are known as Jesus' Father and foster father.,Who is God and Saint Joseph?,Who is Saint Jude?,Who is Abraham?,Who is the Holy Spirit?,Who is God and Saint Joseph?,D
527,Novice,2,Toss-up,This miracle of Jesus was doubted by Thomas the Apostle.,What is His Resurrection from the dead.,What is His Resurrection from the dead.,What is blasphemy?,"What are: prudence, justice, fortitude, and temperance?",What is the amice?,A
529,Novice,3,Toss-up,This Person is the Second Person of the Blessed Trinity.,Who is Jesus?,Who is St. Florian?,Who is Jesus?,Who is Nebuchadnezzar?,Who is Abraham?,B
530,Novice,3,Toss-up,This is the feast day on which is celebrated the Nativity of Jesus Christ.,What is Christmas?,What is original sin?,What is the Epiphany? (or the feast of the Three Kings),"What is ""Adam""?",What is Christmas?,D
531,Novice,3,Toss-up,"She had her first apparition of Our Blessed Mother on February 11, 1858.",Who is Saint Bernadette?,Who is Saint Bernadette?,Who is Josue?,Who is St. Ann and St. Joachim?,Who is St. Francis of Assisi?,A
532,Novice,3,Toss-up,These are the meanings of the words Jesus and Christ.,"What are ""the Savior"" and ""Messiah?""","What are ""the Savior"" and ""Messiah?""",What is the sanctuary lamp?,What is the purificator?,What is anger?,A
533,Novice,3,Toss-up,All the apostles were present at this event which occurred 40 days after Christ died.,What is the Ascension?,What is the Miraculous Medal?,What is the Ascension?,"What are: ""Feed my lambs, feed my sheep."" (Jn. 21: 15-17)","What are: prudence, justice, fortitude, and temperance?",B
534,Novice,3,Toss-up,"By order of Pilate, the four letters I.N.R.I. were placed on Christ's Cross and they stand for this.","What is: Jesus of Nazareth, King of the Jews? or What is: Iesus Nazarenus Rex Iudaeorum?","What is: Jesus of Nazareth, King of the Jews? or What is: Iesus Nazarenus Rex Iudaeorum?","What is: ""Bless us, 0 Lord, and these Thy gifts, which we are about to receive from Thy bounty, through Christ our Lord. Amen""?",What is a vocation?,"What are: Wisdom, Understanding, Counsel (Right Judgement), Fortitude (Courage), Knowledge, Piety, and Fear of the Lord?",A
535,Novice,3,Toss-up,"These words were used by Christ to describe Himself as a response to those who don't know how to get to the Father's ""House.""","What are: ""I am the way, the truth, and the life?"" (Jn. 14:6).",What is Confirmation?,What is Almighty?,"What are: ""I am the way, the truth, and the life?"" (Jn. 14:6).",What is abstinence?,C
536,Novice,3,Toss-up,"The Son of God, the Second Person of the Blessed Trinity, true God and true Man.",Who is Jesus Christ?,Who is Sara? (Gn. 21:2),Who is Jesus Christ?,Who is Melchisedech? (Gn. 14:18-20),Who is Saint Bernadette?,B
537,Novice,3,Toss-up,"These wounds of head, heart, hands and feet, inflicted on Our Lord during His passion and death, are sometimes offered to ""victim souls"" to make reparation for sin.",What is the stigmata?,What is three times?,What is the stigmata?,What is: You shall not kill?,What is the ciborium?,B
538,Novice,3,Toss-up,"At this event God said. ""This is my beloved Son in Whom I am well pleased.""",What is the Baptism of Jesus in the Jordan River?,"What are gold, frankincense and myrrh.",What is the Baptism of Jesus in the Jordan River?,What is covetousness?,What is a scapular?,B
539,Novice,3,Toss-up,"After Satan tempted Jesus in the desert, these came to attend Christ.",Who are angels?,Who is Jesus Christ?,Who is St. Michael?,Who are angels?,Who are they who hunger and thirst for holiness?,C
540,Novice,3,Toss-up,This mystery teaches that Jesus is truly Divine and Human.,What is the mystery of the Incarnation?,"What is the Seventh Commandment: ""You shall not steal?""",What is the mystery of the Incarnation?,What is Divine Inspiration?,What is hell?,B
541,Novice,3,Toss-up,This is the reason for the suffering and death of Jesus on the cross.,What is sin?,What is gopherwood?,What is the lamb's blood?,What is sin?,What is Benediction of the Blessed Sacrament?,C
542,Novice,3,Toss-up,These are the words the priest speaks during absolution.,"What are the words: ""I absolve you from your sins, in the Name of the Father, and of the Son, and of the Holy Spirit?""",What is the Sistine Chapel?,What is Christmas?,What are: 1. Entrance Antiphon - 2. Penitential Rites - 3. Gloria - 4. Opening Prayer?,"What are the words: ""I absolve you from your sins, in the Name of the Father, and of the Son, and of the Holy Spirit?""",D
544,Novice,4,Toss-up,A legal term for an accident that occurs without the cause or foreknowledge of man.,What is an Act of God?,"What are Baptism, Reconciliation, and Anointing of the Sick?",What is the Holy Eucharist?,What is despair?,What is an Act of God?,D
545,Novice,4,Toss-up,On this day we commemorate Christ's passion and death.,What is Good Friday?,What is matrimony?,What is Good Friday?,What is a martyr?,"What are: ""I am the way, the truth, and the life?"" (Jn. 14:6).",B
546,Novice,4,Toss-up,This is the feast day which we celebrate to commemorate Jesus' visible departure from the world 40 days after Easter.,What is the Feast of the Ascension?,What are the Ninth & Tenth Commandments?,What is the Baptism of Jesus in the Jordan River?,What is to speak for us? (to intercede).,What is the Feast of the Ascension?,D
547,Novice,4,Toss-up,This is imprinted on our soul at Confirmation.,What is a character?,What is patiently?,What is the mystery of the Incarnation?,What is an anchor?,What is a character?,D
548,Novice,4,Toss-up,"This devotion to the Eucharistic Christ in the Roman Rite consists of Exposition of the Blessed Sacrament in the monstrance, or a pyx, adoration of the faithful, hymns, the blessing where the priest makes the Sign of the Cross with the Blessed Sacrament over the people, and recitation of Divine Praises.",What is Benediction of the Blessed Sacrament?,What is a halo?,What is the College of Cardinals?,What is a sacrament?,What is Benediction of the Blessed Sacrament?,D
549,Novice,4,Toss-up,These are the holy days of obligation in the United States.,"What are all the Sundays of the year, January lst (the Solemnity of Mary), the Feast of the Ascension (40 days after Easter), the Feast of the Assumption (August 15th), All Saints Day (November lst), the Feast of the Immaculate Conception (December 8th), and Christmas Day (December 25th)? (Canada: Sundays, Christmas, New Year's)","What is ""Holy, Holy Holy?""",What is incense?,"What are all the Sundays of the year, January lst (the Solemnity of Mary), the Feast of the Ascension (40 days after Easter), the Feast of the Assumption (August 15th), All Saints Day (November lst), the Feast of the Immaculate Conception (December 8th), and Christmas Day (December 25th)? (Canada: Sundays, Christmas, New Year's)",What is the pall?,C
550,Novice,4,Toss-up,"This sacramental, consisting of two small pieces of cloth, is fastened by strings and worn around the neck in front and back.",What is a scapular?,What is a scapular?,What is Good Friday?,What is chrism?,What is seventy times seven?,A
551,Novice,4,Toss-up,This sacramental reminds us of our Baptism.,What is holy water?,"What is the word ""Gospel?""",What is holy water?,What is a character?,What is the Bible? (Sacred Scriptures) * only Old or New Testament is incorrect. Old and New T. is okay.,B
552,Novice,4,Toss-up,This is the part of the Mass where the priest explains the Word of God.,What is the homily?,What is the Monstrance?,What is the homily?,What is Man?,"What is ""Our Father?""",B
553,Novice,4,Toss-up,This is something done or accepted to make up for sin.,What is penance?,What is gopherwood?,What is a mortal sin?,What is an altar?,What is penance?,D
554,Novice,4,Toss-up,This person acts for Jesus in the sacrament of Penance.,Who is the priest?,Who is the priest?,Who is Nebuchadnezzar?,Who is Saint Barbara?,Who is Cain?,A
555,Novice,4,Toss-up,"This means ""releasing,"" that is, we are set free (or absolved) from our sins.",What is absolution or when the priest absolves us from our sins?,What is absolution or when the priest absolves us from our sins?,What is Holy Communion?,What is the Miraculous Medal?,What is the Monstrance?,A
556,Novice,4,Toss-up,This is the most joyous season of the Church year.,What is Easter?,What is the homily (or sermon)?,What is Easter?,What is the chalice?,"What is the Seventh Commandment: ""You shall not steal?""",B
558,Novice,5,Toss-up,Each sacrament has matter and form. These are the four sacraments that use Chrism or Holy Oil as their matter.,"What are: Baptism, Confirmation, Holy Orders, and Extreme Unction (or Anointing of the Sick)?",What are the cruets?,What is: He would send a Redeemer?,What is the Seventh Commandment?,"What are: Baptism, Confirmation, Holy Orders, and Extreme Unction (or Anointing of the Sick)?",D
559,Novice,5,Toss-up,This is the sacrament of God's forgiveness.,"What is Penance, Reconciliation or Confession?","What is Penance, Reconciliation or Confession?",What is sanctifying grace or the right to Heaven?,What is a wise man?,What is the tabernacle?,A
560,Novice,5,Toss-up,This man climbed a tree to see Jesus because he was too short.,Who is Zaccheus?,"Who are those who are insulted, persecuted, and slandered because of their love of Christ?",Who is Zaccheus?,Who are the single-hearted? (pure of heart).,"Who is St. Teresa of Lisieux, or the Little Flower?",B
561,Novice,5,Toss-up,These are the names given the three types of holy oils used in the Church's worship today.,"What are chrism, oil of the sick, and oil of the catechumens?","What are chrism, oil of the sick, and oil of the catechumens?",What is a vice or sin?,What is holy water?,What is a vocation?,A
562,Novice,5,Toss-up,"The place, usually in the center of the sanctuary, in which the Blessed Sacrament is contained.",What is the tabernacle?,What is Almighty?,What is the tabernacle?,What is a mystery?,What is the Ascension?,B
563,Novice,5,Toss-up,This name is given the special vessel for presenting the Eucharistic Host for adoration by the faithful.,What is the Monstrance?,What is the Monstrance?,"What is the Second Joyful Mystery, the Visitation of Mary.",What is faith?,What is Easter?,A
564,Novice,5,Toss-up,This event marked the beginning of God's work of salvation in Christ.,What is the Incarnation (or the Annunciation)?,"What is: You shall not take the Name of the Lord your God, in vain?",What is incense?,What is an Advent wreath?,What is the Incarnation (or the Annunciation)?,D
565,Novice,5,Toss-up,"'This is considered the birthday of the Church, the day the Holy Spirit was sent to earth.",What is Pentecost?,What is Pentecost?,What is the chalice?,What is diabolic possession?,What is a sacrament?,A
566,Novice,5,Toss-up,This is the light that is kept burning above or before ore the tabernacle in which the Blessed Sacrament is reserved.,What is the sanctuary lamp?,What is the sanctuary lamp?,What are the Gospels?,What is mortal sin?,What is a scapular?,A
567,Novice,5,Toss-up,"An outward sign instituted by Christ, to give grace.",What is a sacrament?,What are: (1) The Agony in the Garden. (2) The Scourging at the Pillar. (3) The Crowning with Thorns. (4) The Carrying of the Cross. (5) The Crucifixion and Death of Christ?,What are angels?,What is a sacrament?,"What is ""Adam""?",C
568,Novice,5,Toss-up,"The introductory rites of a solemn ""Novus Ordo"" Mass are these four prayers.",What are: 1. Entrance Antiphon - 2. Penitential Rites - 3. Gloria - 4. Opening Prayer?,What is the Bible?,What are: 1. Entrance Antiphon - 2. Penitential Rites - 3. Gloria - 4. Opening Prayer?,What is the sanctuary lamp?,What is a miracle?,B
569,Novice,5,Toss-up,"""Amen"" in Hebrew means this.","What is: ""So be it?""",What is revelation?,What is petition?,What is a sacrilege?,"What is: ""So be it?""",D
570,Novice,5,Toss-up,"At the beginning of the Gospel, the priest and the congregation trace this symbol on their forehead, lips and breast.",What is the Sign of the Cross?,What is Benediction of the Blessed Sacrament?,What are the theological virtues?,"What are: ""Feed my lambs, feed my sheep."" (Jn. 21: 15-17)",What is the Sign of the Cross?,D
571,Novice,5,Toss-up,This is the part of the Mass when the priest teaches and talks about the Readings and the Gospel.,What is the homily (or sermon)?,What is the homily (or sermon)?,What is a mystery?,What is seven days?,What are: 1. Entrance Antiphon - 2. Penitential Rites - 3. Gloria - 4. Opening Prayer?,A
573,Novice,6,Toss-up,"This the English translation of the Latin words, ""Sanctus, Sanctus, Sanctus.""","What is ""Holy, Holy Holy?""",What is: Honour your father and your mother?,What is mortal sin?,"What are ""the Savior"" and ""Messiah?""","What is ""Holy, Holy Holy?""",D
574,Novice,6,Toss-up,This is the most solemn moment of the Mass.,What is the consecration?,What is original sin?,What is a character?,"What is Penance, Reconciliation or Confession?",What is the consecration?,D
575,Novice,6,Toss-up,This is the part of the Mass which Christ instituted at the Last Supper.,What is the consecration?,What is pride?,"What is ""Who is like God?""",What is the Incarnation (or the Annunciation)?,What is the consecration?,D
576,Novice,6,Toss-up,This is the supreme act of worship in the Church of Christ.,What is the Mass?,"What is: You shall not take the Name of the Lord your God, in vain?",What is the Mass?,What is the Feast of the Assumption?,"What is the Second Joyful Mystery, the Visitation of Mary.",B
577,Novice,6,Toss-up,"This sweet odour, along with the chanting of the Mass represents prayers rising to God.",What is incense?,What is incense?,What is actual sin?,What is unkindness?,What is the sanctuary lamp?,A
578,Novice,6,Toss-up,"This is what ""Mea Culpa,"" means on English.","What is ""through my Fault?""","What is ""So be it?""",What is the ciborium?,What is the Bible?,"What is ""through my Fault?""",D
579,Novice,6,Toss-up,"Jesus asked St. Peter this many times, ""Simon, son of John doest thou love Me?""",What is three times?,What is covetousness?,What is the consecration?,What is three times?,What are capital sins?,C
580,Novice,6,Toss-up,These are the matter and form of the sacrament of Baptism.,"What are: 1. Matter (pouring) - 2. Form (""I Baptize you in the Name of the Father and of the Son and of Holy Spirit?"")",What is the Agony in the Garden? (or lst Sorrowful Mystery),"What are: 1. Matter (pouring) - 2. Form (""I Baptize you in the Name of the Father and of the Son and of Holy Spirit?"")",What is St. Simeon?,What is the gift of tongues?,B
581,Novice,6,Toss-up,"These are a record of what Jesus wants us to believe and do in order to be saved and reach Heaven as well as an account of how, out of great Love He died for us.",What are the Gospels?,What is the tabernacle?,What are the Gospels?,What is patiently?,What is an altar?,B
582,Novice,6,Toss-up,"Instituted by Christ and administered by His Church, these are the ordinary means of obtaining grace.",What are sacraments?,What is mortal sin?,What is: Honour your father and your mother?,What are sacraments?,What is the Agony in the Garden? (or lst Sorrowful Mystery),C
583,Novice,6,Toss-up,A plenary indulgence is attached to this special blessing.,What is an Apostolic blessing or Papal blessing?,What is an Apostolic blessing or Papal blessing?,What is absolution or when the priest absolves us from our sins?,What is diabolic possession?,What is the decision to release Gentile Christians from the ceremonial observances of Mosaic law i.e. circumcision?,A
584,Novice,6,Toss-up,"A day preceding certain feasts (Christmas, Easter, Pentecost). It is a day of preparation, and sometimes involves some penance.",What is a vigil?,"What is Penance, Reconciliation or Confession?",What is a vigil?,What is beatification?,"What are: ""The Apostles' Creed"", ""The Lord's Prayer"", ""The Hail Mary"", and the ""Glory be to the Father""?",B
585,Novice,6,Toss-up,This is the moment of forgiveness in the sacrament of Reconciliation. (Penance),What is absolution?,What is blasphemy?,"What is, ""You have revealed them. Who can neither deceive, nor be deceived?""",What is absolution?,What are cruets?,C
586,Novice,6,Toss-up,This is the oil used in the sacrament of Holy Orders.,What is chrism?,What is the sanctuary lamp?,What is chrism?,What is the Holy Eucharist?,What are (natural) reason and Revelation?,B
588,Novice,7,Toss-up,This is the recommended age for a child to receive First Holy Communion.,What is the age of reason? (around 7 years of age).,What is the age of reason? (around 7 years of age).,What is three times?,What is an Advent wreath?,What are angels?,A
589,Novice,7,Toss-up,This is the only day in the Church's year on which Mass is not offered.,What is Good Friday?,What is Good Friday?,What is incense?,What is the Baptism of Jesus in the Jordan River?,What is grace?,A
590,Novice,7,Toss-up,This is the official language of the traditional Roman Rite Mass.,What is Latin?,What is hope?,What is Fatima?,What is the Seventh Commandment?,What is Latin?,D
591,Novice,7,Toss-up,"A short rectangular piece of white cloth, worn beneath the alb to cover the shoulders with two ends tied at the waist of the priest.",What is the amice?,What is a mystery?,What is: I am the Lord your God. You shall not have other gods besides me?,What is the Bible?,What is the amice?,D
592,Novice,7,Toss-up,This is a table which has been specially dedicated to God for the offering of sacrifice.,What is an altar?,What are (natural) reason and Revelation?,What is an altar?,What is incense?,What is lust?,B
593,Novice,7,Toss-up,They are two small vessels that contain the water and wine to be used at Mass.,What are the cruets?,What is the lamb's blood?,What is the tabernacle?,What is blasphemy?,What are the cruets?,D
594,Novice,7,Toss-up,This is the light that is kept burning near the tabernacle in which the Blessed Sacrament is reserved.,What is the sanctuary lamp?,What is the sanctuary lamp?,What are capital sins?,What is May 1917?,"What are ""the Savior"" and ""Messiah?""",A
595,Novice,7,Toss-up,"Jesus is kept in this place, so we can visit Him in the church.",What is the tabernacle?,What is a habit?,What is hell?,What is the tabernacle?,What is Divine or Sacred Tradition?,C
596,Novice,7,Toss-up,This is a sacrifice and a sacrament.,What is the Holy Eucharist?,What is blasphemy?,What is the Holy Eucharist?,What is Man?,What is the homily?,B
597,Novice,7,Toss-up,This is a sacred cup in which the wine becomes the true Blood of Christ at the consecration.,What is the chalice?,What is patiently?,What is the chalice?,What is the decision to release Gentile Christians from the ceremonial observances of Mosaic law i.e. circumcision?,What are: (1) The Annunciation (2) The Visitation (3) The Birth of Christ (The Nativity) (4) The Presentation of Jesus in the Temple. (5) The Finding of Jesus in the Temple?,B
598,Novice,7,Toss-up,St. Thomas Aquinas spoke of these as the instruments God uses in causing in us or communicating to us the graces of salvation.,What are the sacraments?,What is St. Simeon?,What are the sacraments?,What is a virtue?,What is the corporal?,B
599,Novice,7,Toss-up,Through this sacrament a baptized person is sealed with the Holy Spirit.,What is Confirmation?,What is Confirmation?,What is revelation?,What is a scapular?,"What are gold, frankincense and myrrh.",A
600,Novice,7,Toss-up,This sacrament brings us intimately close to Jesus.,What is Holy Communion?,What is justice?,What is the Old Testament?,What is a character?,What is Holy Communion?,D
601,Novice,7,Toss-up,This type of grace is increased in our soul after Confirmation.,What is sanctifying grace?,What is sanctifying grace?,What is Mt. Sinai (or Horeb)?,What is idolatry?,What is a halo?,A
602,Novice,7,Toss-up,This sacrament completes the gift of the Holy Spirit given to us in Baptism.,What is the sacrament of Confirmation?,What is the sacrament of Confirmation?,What is the purificator?,"What is ""Who is like God?""",What is grace?,A
604,Novice,8,Toss-up,"This is the first time that the ""profession of faith"" is made.",What is during Baptism?,"What are: ""I am the way, the truth, and the life?"" (Jn. 14:6).",What is during Baptism?,"What is the moment Mary agreed to become His Mother or "" Incarnation?""",What is grace?,B
605,Novice,8,Toss-up,This word describes God's unlimited perfection.,What is infinite?,What is the Incarnation (or the Annunciation)?,What is sloth?,What is the death of the first born.,What is infinite?,D
606,Novice,8,Toss-up,This is the mystery of the Blessed Trinity.,"What is one God in Three Divine Persons: Father, Son and Holy Spirit.",What is an Advent wreath?,"What is one God in Three Divine Persons: Father, Son and Holy Spirit.",What are capital sins?,What is expensive perfume? (Mk 14:3-4),B
607,Novice,8,Toss-up,This is something that takes place outside of the ordinary working of nature's laws - something only God can do.,What is a miracle?,What are the theological virtues?,What is the tabernacle?,What is Psalm 26?,What is a miracle?,D
608,Novice,8,Toss-up,These are some other names for the Holy Spirit.,"Who is: Spirit of God, Gift of God, Spirit of Truth, Giver of Life, and the Paraclete? (Give two)",Who is Saint Elizabeth?,"Who is: Spirit of God, Gift of God, Spirit of Truth, Giver of Life, and the Paraclete? (Give two)",Who is St. Andrew?,Who are angels?,B
609,Novice,8,Toss-up,"Because Adam and Eve sinned against God, they lost this gift.",What is sanctifying grace or the right to Heaven?,What is sanctifying grace or the right to Heaven?,What is a cousin?,"What is the moment Mary agreed to become His Mother or "" Incarnation?""",What is the Mass?,A
610,Novice,8,Toss-up,He is the Third Person of the Blessed Trinity.,Who is the Holy Spirit?,Who is St. Maximilian Kolbe?,Who is Ruth?,Who is Pope Pius XII?,Who is the Holy Spirit?,D
611,Novice,8,Toss-up,This is a person who does not believe in the One True God.,What is a pagan or atheist?,What is a pagan or atheist?,What is a martyr?,What is unkindness?,What is Divine or Sacred Tradition?,A
612,Novice,8,Toss-up,This is the only attribute of God named in the Creed.,What is Almighty?,What is an Apostolic blessing or Papal blessing?,What is hell?,What is lust?,What is Almighty?,D
613,Novice,8,Toss-up,This gift of the Holy Spirit is God's help to know when our soul (a soul) is in danger of sin.,What is counsel?,What is counsel?,"What is: You shall not take the Name of the Lord your God, in vain?",What is the sacrament of Confirmation?,What is a cassock?,A
614,Novice,8,Toss-up,"This is the meaning of ""Pater Noster.""","What is ""Our Father?""",What is: Remember to keep holy the Lord's Day?,What is genuflection?,"What is ""Our Father?""",What is a character?,C
615,Novice,8,Toss-up,The human soul shares in the dignity of this image.,What is the image of God?,What is the corporal?,What is pride?,What is the image of God?,What is: You shall not commit adultery?,C
616,Novice,8,Toss-up,We are created in His image and likeness.,Who is God?,Who is St. Clotilde?,Who is St. Maximilian Kolbe?,Who is God?,Who is Jacob?,C
617,Novice,8,Toss-up,Yahweh is the name used for this Being.,Who is God?,Who is King Herod (son of Herod the Great)?,Who is God?,Who is Jesus?,Who is St. Paul?,B
618,Novice,8,Toss-up,This is the only attribute of God named in the Creed.,What is Almighty?,What is Hinduism?,What is Almighty?,What is (actual) sin?,What are the Old Testament and the New Testament?,B
620,Novice,9,Toss-up,He is everywhere.,Who is God?,Who is God?,Who is King Herod (son of Herod the Great)?,Who is St. Agnes?,"Who is Eve? (Gn. 3:20, 4:1)",A
621,Novice,9,Toss-up,"In our Catholic belief, we acknowledge Jesus to be both God and this.",What is Man?,What is the Name of Jesus?,What are scripture and tradition?,What is Man?,What is a vice or sin?,C
622,Novice,9,Toss-up,This is an extraordinary act of God.,What is a miracle?,What is out of nothing?,"What is ""Who is like God?""",What is a miracle?,What is a Pharaoh?,C
623,Novice,9,Toss-up,This Person in the Holy Trinity is usually listed first.,Who is God the Father?,Who is Sara? (Gn. 21:2),Who is God the Father?,Who is St. Peter?,Who is Jacob?,B
